FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
2031,87904,MCB-U,D4.RS,6/18/2004 0:00:00,746150,4460550,1,23966,26.387467686200001
2032,87924,MCB-U,D1.RS,7/12/2013 0:00:00,764200,4488450,1,24069,33.832272747799998
2033,87958,BWC-S,D34.RS,10/22/1999 0:00:00,721500,4438300,0,23811,29.670907511599999
2034,87959,MCB-U,D7.RS,8/5/1994 0:00:00,703520,4310235,1,1886,69.293949140300001
2035,88005,IMP-S,D23.RS,6/15/2011 0:00:00,746720,4305485,1,1059,30.288402657399999
2036,88021,BWC-S,F278A.RS,10/14/1997 0:00:00,735900,4445450,1,21660,15.250664559300001
2037,88046,BWC-S,D35.RS,7/22/1999 0:00:00,719650,4435100,0,21321,0.000000000000000
2038,88150,TRI,BM00.7S,6/18/2004 0:00:00,808309,4164557,1,5957,0.000000000000000
2039,88160,MCB-U,D4.RS,10/25/1994 0:00:00,816595,4144290,1,5908,48.190732149799999
2040,88183,BWC-S,D10.RS,6/27/2000 0:00:00,726820,4313835,1,1919,29.707821083700001
2041,88197,BWC-S,D20.RS,8/10/2000 0:00:00,760550,4483150,1,22424,64.164356538800007
2042,88281,MCB-U,D3.RS,6/30/1995 0:00:00,720020,4314285,1,1918,49.210976447000000
2043,88318,MCB-U,D6.RS,8/2/2011 0:00:00,732400,4448200,0,22655,59.788742646400003
2044,88330,BWC-S,F375A.RS,8/14/2007 0:00:00,722250,4438350,1,21853,40.325149448200001
2045,88486,SCB,D36.RS,10/13/2009 0:00:00,741350,4451550,0,22675,26.418766646300000
2046,88541,BWC-S,D35.RS,7/13/1998 0:00:00,715600,4430800,0,26470,10.038226320400000
2047,88561,IMP-S,D23.RS,8/25/1998 0:00:00,743820,4306535,0,2554,30.549650786299999
2048,88620,SCB,D20.RS,10/3/2008 0:00:00,722650,4441000,1,26680,18.542765202999998
2049,88652,SCB,C31A.RS,10/4/2002 0:00:00,766500,4490100,1,23205,18.619333043299999
2050,88686,BWC-S,F130A.RS,8/8/1996 0:00:00,729400,4444450,1,25765,33.383366485600000
