FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
4224,151016,MCB-W,M758.05W,8/17/2007 0:00:00,580181,4913810,0,3875,0.000000000000000
4225,151044,SCB,D6.RS,10/27/2008 0:00:00,543695,4934845,1,1852,125.838012695000000
4226,151124,BWC-S,D8.RS,10/29/2002 0:00:00,640620,4841700,0,7816,36.840331129100001
4227,151166,SCB,C25A.RS,9/26/1997 0:00:00,641370,4842900,1,5028,11.690806632099999
4228,151254,MCB-W,M757.1W,7/2/1996 0:00:00,581400,4912900,1,649,63.270193963600001
4229,151272,BWC-S,D11.RS,10/10/2005 0:00:00,641920,4841450,0,7822,3.852924337520000
4230,151320,SCB,D9.RS,10/28/2002 0:00:00,581995,4913145,1,308,0.000000000000000
4231,151340,BWC-S,M701.8H,10/12/1990 0:00:00,638944,4857032,NA,5981,53.398504985199999
4232,151343,BWC-S,D12.RS,7/27/1995 0:00:00,717675,4677085,1,9656,34.259711649200000
4233,151436,BWC-S,F5.RS,9/7/2010 0:00:00,642070,4844150,0,5052,0.000000000000000
4234,151472,BWC-S,F10.RS,9/22/1999 0:00:00,643620,4845200,0,5237,0.749433811111000
4235,151534,BWC-S,F6.RS,10/9/2008 0:00:00,641920,4840650,0,4968,0.000000000000000
4236,151558,BWC-S,F4.RS,6/20/2016 0:00:00,639770,4852350,0,5887,0.000000000000000
4237,151594,BWC-S,F6.RS,6/21/1999 0:00:00,583445,4909245,1,3851,30.942188616100001
4238,151610,TWZ,M796.9N,10/4/1993 0:00:00,531001,4939807,0,2207,26.398614001599999
4239,151653,BWC-S,F2.RS,8/24/1994 0:00:00,641570,4846650,1,5814,40.977696177399999
4240,151672,IMP-S,F14.RS,9/12/2001 0:00:00,737225,4643285,0,8611,0.000000000000000
4241,151688,MCB-W,M760.6E,10/6/1997 0:00:00,576620,4915400,0,1634,72.736433360299998
4242,151699,BWC-S,F1.RS,8/24/1998 0:00:00,639220,4854650,0,5675,14.731633293200000
4243,151787,BWC-S,F7.RS,7/13/2000 0:00:00,641070,4841250,0,7789,0.000000000000000
4244,151803,TWZ,M556.5E,10/26/1990 0:00:00,713140,4681476,NA,9367,30.254579075199999
4245,151891,IMP-S,H21A.RS,6/15/1993 0:00:00,735575,4650185,1,11035,22.903586761000000
4246,151971,BWC-S,F10.RS,8/14/2013 0:00:00,738075,4655985,0,8772,14.152209575500001
4247,151989,BWC-S,F3.RS,6/27/1995 0:00:00,717575,4676885,1,9656,0.000000000000000
4248,152028,BWC-S,F25A.RS,8/22/2016 0:00:00,733275,4669635,1,13328,2.758435687200000
4249,152125,BWC-S,F10.RS,8/28/2002 0:00:00,641470,4841650,0,5213,2.307579229740000
4250,152229,BWC-S,M788.3G,8/11/1992 0:00:00,540524,4935330,0,3268,23.073918398699998
4251,152328,BWC-S,D19.RS,7/25/2012 0:00:00,542145,4935895,0,3288,0.000000000000000
4252,152382,MCB-U,D7.RS,10/24/2012 0:00:00,584195,4910545,1,2662,25.368697385200001
4253,152448,BWC-O,M788.6F,10/1/1991 0:00:00,540249,4935467,NA,439,138.721413520000000
4254,152501,BWC-S,F38A.RS,8/1/2013 0:00:00,578795,4915895,1,539,0.000000000000000
4255,152791,MCB-U,D2.RS,9/4/2012 0:00:00,540945,4934995,0,431,1.810089620760000
4256,152817,MCB-U,D6.RS,9/3/1996 0:00:00,580345,4913545,1,3875,15.970021475099999
4257,152834,BWC-S,D16.RS,6/28/2010 0:00:00,642270,4841400,0,4989,0.000000000000000
4258,152853,BWC-S,D12.RS,10/5/2004 0:00:00,639220,4855400,1,5968,0.000000000000000
4259,152905,IMP-S,F15.RS,9/5/2007 0:00:00,640470,4828850,0,6071,15.933831842800000
4260,152912,IMP-S,F12.RS,10/9/2000 0:00:00,643570,4839250,0,5184,20.680184584500001
4261,152929,BWC-S,F2.RS,8/18/2014 0:00:00,716225,4679236,0,9678,74.869668408400003
4262,152930,TWZ,M796.9N,8/11/1992 0:00:00,531001,4939807,0,2207,26.398614001599999
4263,152933,BWC-S,F100A.RS,9/16/2002 0:00:00,584095,4911995,1,925,18.993810841999998
4264,152959,BWC-S,F5.RS,9/30/2002 0:00:00,737275,4660735,NA,13378,31.265716729200001
4265,152960,IMP-S,F11.RS,8/12/1997 0:00:00,733725,4648085,0,11356,34.585202888900000
4266,152988,IMP-S,F12.RS,8/17/1995 0:00:00,733475,4647585,1,10699,51.825315239100000
4267,153028,BWC-S,F41A.RS,10/15/2012 0:00:00,729625,4669085,1,13327,25.498384026800000
4268,153078,BWC-S,F3.RS,8/19/2014 0:00:00,717725,4677086,0,9656,33.561855720700002
4269,153092,BWC-S,F3.RS,6/24/1999 0:00:00,579095,4916795,0,565,6.512594562820000
4270,153132,BWC-S,F32A.RS,8/22/2016 0:00:00,729675,4669035,1,13327,16.275755250200000
4271,153185,BWC-S,F84A.RS,9/23/1993 0:00:00,640870,4839350,0,4832,0.000000000000000
4272,153191,BWC-S,F5.RS,6/22/1999 0:00:00,581045,4913995,0,327,0.000000000000000
4273,153235,BWC-S,F11.RS,9/3/2008 0:00:00,643170,4842300,0,6837,24.741650616800001
4274,153236,BWC-S,F5.RS,7/2/1997 0:00:00,579995,4915145,0,339,0.000000000000000
4275,153253,BWC-S,F8A.RS,8/6/1997 0:00:00,643120,4840650,0,7754,20.493149727799999
4276,153278,BWC-S,F12.RS,10/4/2001 0:00:00,639220,4843700,0,5532,33.746492594400003
4277,153322,BWC-S,F2.RS,6/28/2010 0:00:00,721325,4674085,1,10068,34.188389373600003
4278,153342,IMP-S,M679.3V,9/23/1991 0:00:00,642535,4826391,NA,6071,21.862643420000001
4279,153346,TWZ,M796.9M,7/11/2017 0:00:00,531164,4939769,0,1939,108.158015873000000
4280,153350,IMP-S,F15.RS,8/23/2017 0:00:00,641170,4834750,0,5445,17.944568115799999
4281,153351,BWC-S,F21A.RS,6/30/1997 0:00:00,638870,4856650,0,5976,17.956002550400001
4282,153388,BWC-S,F7.RS,9/9/2002 0:00:00,639720,4851800,0,5340,23.380476953999999
4283,153389,IMP-S,F15.RS,7/17/2017 0:00:00,641220,4835100,0,5445,5.706289236430000
4284,153443,BWC-S,F1.RS,6/16/2015 0:00:00,638120,4858250,1,5996,11.344200333900000
4285,153501,TWZ,M702.3A,8/29/1991 0:00:00,635988,4857754,NA,5990,0.000000000000000
4286,153533,IMP-S,D17.RS,8/5/2008 0:00:00,736875,4642685,0,8728,49.200478604799997
4287,153534,SCB,D4.RS,8/31/2009 0:00:00,641670,4845250,0,7991,9.639161282840000
4288,153613,SCB,D10.RS,10/25/1999 0:00:00,639070,4852800,1,5892,82.002958599999999
4289,153657,IMP-S,D23.RS,6/19/1998 0:00:00,643470,4828700,1,6132,22.256891176100002
4290,153665,BWC-S,D24.RS,7/26/2011 0:00:00,583945,4909495,1,470,23.067584662800002
4291,153678,BWC-S,D16.RS,10/19/2005 0:00:00,539595,4935945,1,1477,17.550127894599999
4292,153702,MCB-W,M796.8M,9/5/2006 0:00:00,531608,4939614,0,1939,41.431761386600002
4293,153764,BWC-S,M536.9M,10/9/1991 0:00:00,733888,4663573,NA,9891,7.974255174200000
4294,153821,SCB,D6.RS,7/1/1993 0:00:00,639420,4854050,1,5922,37.804753523700001
4295,153825,IMP-S,D15.RS,10/3/2008 0:00:00,642720,4836900,0,6456,28.176340518699998
4296,153833,SCB,D9.RS,6/19/2001 0:00:00,641470,4843850,0,7943,0.000000000000000
4297,153853,MCB-U,D7.RS,7/7/1999 0:00:00,585145,4909495,1,2139,7.247475913980000
4298,153899,MCB-W,M695.1M,10/24/1990 0:00:00,640868,4848504,0,5861,65.054335435900001
4299,153901,SCB,D6.RS,6/24/1996 0:00:00,644320,4842800,1,7868,17.900253143200000
4300,153954,MCB-W,M689.1C,8/20/1996 0:00:00,639788,4839327,0,6011,52.905670297199997
4301,153987,BWC-S,D15.RS,8/18/1995 0:00:00,637970,4856950,0,5312,11.294655739700000
4302,154007,SCB,D9.RS,8/4/2015 0:00:00,641720,4842300,1,7834,75.908323250500004
4303,154054,IMP-S,D18.RS,9/30/2016 0:00:00,737225,4643435,0,8611,89.192751194200000
4304,154055,MCB-W,M694.5M,7/31/2012 0:00:00,641163,4848022,1,5606,68.783158906400004
4305,154095,BWC-S,D18.RS,10/17/2013 0:00:00,639870,4843499,0,5035,33.743886299600000
4306,154145,SCB,D24.RS,6/29/2010 0:00:00,585395,4908545,1,1121,113.152129894000000
4307,154146,BWC-S,M551.3,7/1/1992 0:00:00,719415,4677058,0,12588,14.079762514100000
4308,154159,BWC-S,F4.RS,8/1/2005 0:00:00,584995,4910745,1,1137,10.998098844999999
4309,154164,BWC-S,F9.RS,8/10/2006 0:00:00,640270,4838100,0,4925,0.000000000000000
4310,154171,BWC-S,F4.RS,9/6/2006 0:00:00,641220,4845350,1,7998,0.000000000000000
