FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
295,11978,MCB-U,D32.RS,6/15/2000 0:00:00,748700,4463700,0
296,12057,IMP-S,D22.RS,6/18/2007 0:00:00,744520,4306285,1
297,12104,BWC-S,D23.RS,8/16/2001 0:00:00,759700,4482650,0
298,12105,MCB-U,D6.RS,6/28/1994 0:00:00,712520,4304885,1
299,12147,SCB,80785.1689,8/9/1996 0:00:00,807845,4168890,0
300,12148,MCB-U,D1.RS,8/4/2014 0:00:00,777700,4494300,0
301,12262,BWC-S,F365A.RS,8/1/2008 0:00:00,746250,4458600,0
302,12306,IMP-S,D22.RS,10/4/1994 0:00:00,744070,4306185,0
303,12434,MCB-U,D8.RS,6/18/2015 0:00:00,740450,4453600,0
304,12457,SCB,D10.RS,9/3/1993 0:00:00,740600,4449900,1
305,12586,BWC-S,D36.RS,8/25/1995 0:00:00,712750,4428150,1
306,12614,MCB-U,D3.RS,9/3/1997 0:00:00,704070,4309585,1
307,12892,SCB,D10.RS,7/22/2011 0:00:00,716520,4309935,1
308,12904,MCB-U,D6.RS,8/19/2016 0:00:00,814545,4122690,1
309,12921,IMP-S,D23.RS,9/12/2016 0:00:00,744320,4306335,0
310,12947,BWC-S,F180A.RS,10/11/2010 0:00:00,722000,4437700,1
311,13049,BWC-S,F20A.RS,10/21/2004 0:00:00,782050,4493900,0
312,13098,SCB,D12.RS,7/10/2003 0:00:00,743550,4456000,1
313,13174,MCB-U,D5.RS,9/29/2016 0:00:00,703120,4309935,1
314,13214,SCB,D5.RS,8/27/1999 0:00:00,817245,4118440,1
315,13367,SCB,D24.RS,10/28/1996 0:00:00,743600,4454050,1
316,13389,SCB,D19.RS,7/20/2016 0:00:00,743600,4455900,0
317,13429,SCB,C139A.RS,9/26/2008 0:00:00,822395,4106440,0
318,13448,IMP-S,D23.RS,7/26/2013 0:00:00,744120,4305985,1
319,13568,BWC-S,D19.RS,7/11/2007 0:00:00,734420,4310735,1
320,13727,MCB-U,D17.RS,9/6/2000 0:00:00,744420,4306935,0
321,13729,SCB,D9.RS,9/25/2017 0:00:00,735870,4312835,1
322,13799,BWC-S,F298A.RS,8/15/2017 0:00:00,723000,4439700,0
323,13873,BWC-S,D30.RS,8/10/2005 0:00:00,745700,4457900,0
324,13874,MCB-W,M051.9E,10/30/1998 0:00:00,809226,4134083,0
325,13950,SCB,D10.RS,6/21/2007 0:00:00,750000,4467150,1
326,13954,SCB,D14.RS,8/12/2010 0:00:00,717320,4310535,1
327,13991,IMP-S,D24.RS,9/22/1995 0:00:00,745720,4305735,0
328,14034,MCB-U,D6.RS,8/19/2009 0:00:00,740470,4309585,1
329,14045,BWC-S,D18.RS,6/29/2007 0:00:00,753250,4473550,0
330,14070,BWC-S,D25.RS,7/12/2001 0:00:00,721150,4438050,0
331,14071,SCB,D13.RS,9/2/1998 0:00:00,709120,4304935,1
332,14115,MCB-W,M227.5W,10/11/2006 0:00:00,712905,4304950,0
333,14129,BWC-S,D7.RS,7/29/1999 0:00:00,729600,4443950,0
334,14130,MCB-U,D2.RS,10/28/2016 0:00:00,770650,4492650,0
335,14143,SCB,D22.RS,9/20/1996 0:00:00,749300,4466350,1
336,14205,SCB,D12.RS,7/26/1994 0:00:00,809745,4130540,0
337,14206,MCB-U,D3.RS,6/27/2000 0:00:00,814945,4121340,1
338,14239,SCB,D13.RS,9/15/2011 0:00:00,817095,4118390,1
339,14256,BWC-S,D16.RS,8/22/2013 0:00:00,732670,4311085,0
340,14281,BWC-S,F243A.RS,10/14/2003 0:00:00,713050,4429400,1
341,14359,BWC-S,D22.RS,10/5/2001 0:00:00,751900,4470350,0
342,14360,MCB-U,D1.RS,8/24/2000 0:00:00,747600,4462250,0
343,14583,SCB,D11.RS,10/8/1996 0:00:00,715970,4306935,NA
344,14941,TRI,BM00.7S,8/11/1994 0:00:00,808267,4164557,1
345,14972,BWC-S,D18.RS,8/19/2005 0:00:00,734420,4310935,1
346,15004,BWC-S,D27.RS,10/29/2002 0:00:00,714250,4430150,0
347,15005,SCB,D27.RS,7/31/1996 0:00:00,722800,4441550,1
348,15024,SCB,D13.RS,8/30/2007 0:00:00,741250,4450900,0
349,15046,BWC-S,F363A.RS,10/4/2007 0:00:00,745650,4457900,1
350,15161,SCB,D12.RS,8/5/2008 0:00:00,816845,4138940,1
351,15176,MCB-U,D15.RS,10/28/1998 0:00:00,717550,4431950,1
352,15214,SCB,D9.RS,6/24/2013 0:00:00,728270,4313485,1
353,15267,MCB-U,D5.RS,10/10/2006 0:00:00,707720,4304685,0
354,15328,IMP-S,D22.RS,8/13/2007 0:00:00,746320,4305235,1
355,15376,MCB-U,D27.RS,10/1/2003 0:00:00,781500,4494250,0
356,15407,MCB-U,D3.RS,7/6/2017 0:00:00,742120,4309385,0
357,15437,MCB-U,D3.RS,10/25/2000 0:00:00,742970,4306935,0
