RowID,stratum,lcode,sdate,utm_e,utm_n,snag
247208,BWC-S,M690.2A,8/7/1990,639243,4841764,1
247311,MCB-W,M755.8E,7/14/1997,583300,4911850,0
247350,BWC-S,D11.RS,6/24/1993,642120,4848800,1
247352,MCB-U,D2.RS,7/10/2015,541995,4934745,1
247371,MCB-W,M691.6E,8/2/2017,640703,4843283,0
247400,BWC-S,D19.RS,9/11/2017,641070,4839700,0
247401,IMP-S,D14.RS,9/24/2007,733625,4646585,0
247420,IMP-S,D18.RS,8/10/2009,733625,4646585,0
247444,BWC-S,D20.RS,8/19/1997,583445,4911995,1
247477,BWC-S,D15.RS,7/1/1996,545395,4933295,0
247517,BWC-S,D17.RS,8/21/1998,640870,4847750,1
247564,MCB-W,M695.0M,10/24/1990,640968,4848322,0
247566,MCB-W,M690.7E,7/8/1996,640240,4842008,0
247612,MCB-U,D3.RS,8/20/1996,639770,4839850,1
247639,MCB-W,M754.9W,9/10/2014,583838,4910693,0
247640,MCB-W,M687.8C,9/22/2015,639321,4837644,0
247732,BWC-S,F5.RS,9/28/1993,642668,4844723,1
247871,TWZ,M796.9M,8/12/1992,531025,4939640,0
247877,TWZ,M796.9M,9/27/1999,531025,4939640,1
247921,IMP-S,F14.RS,8/29/2001,733475,4647085,1
247966,BWC-S,F5.RS,9/25/1996,735075,4662285,1
247976,BWC-S,F4.RS,8/22/2005,642320,4848550,1
248246,BWC-S,F37A.RS,8/28/1997,733375,4662385,1
248302,BWC-S,F7A.RS,9/26/1995,642520,4841350,1
248425,BWC-S,D7.RS,8/24/2006,717375,4677335,1
248544,MCB-U,D3.RS,9/12/2005,734275,4664035,1
248644,SCB,D9.RS,8/17/1999,582445,4913045,1
248695,MCB-U,M794.1Q,8/28/1991,534357,4938468,NA
248743,MCB-U,D3.RS,6/26/2015,571345,4918095,0
248744,BWC-S,D13.RS,8/12/2015,736575,4660585,0
248745,SCB,C35A.RS,10/9/2015,582345,4912945,1
248792,MCB-U,D3.RS,10/16/2012,572545,4917795,0
248813,SCB,C2A.RS,7/24/1995,639270,4856200,1
248875,IMP-S,M679.6V,6/27/1990,642535,4826391,NA
248907,BWC-S,M551.6,8/13/1992,718474,4677200,1
